valid,train,ood
0.5,0.5,0.5
0.8,0.825,0.74
0.86,0.83,0.84
0.79,0.83,0.79
0.81,0.85,0.84
0.85,0.83,0.84
0.8,0.85,0.84
0.85,0.785,0.85
0.81,0.855,0.84
0.82,0.845,0.84
0.87,0.83,0.84
0.86,0.855,0.84
0.81,0.86,0.84
0.82,0.855,0.84
0.81,0.855,0.84
0.85,0.85,0.84
0.85,0.865,0.84
0.86,0.85,0.84
0.85,0.855,0.84
0.86,0.84,0.84
0.84,0.86,0.84
0.86,0.855,0.84
0.86,0.86,0.84
0.86,0.86,0.84
0.86,0.86,0.84
0.87,0.87,0.84
0.85,0.855,0.84
0.85,0.855,0.84
0.85,0.84,0.84
0.84,0.865,0.84
0.86,0.86,0.84
0.85,0.845,0.84
0.86,0.84,0.84
0.85,0.86,0.84
0.85,0.845,0.84
0.86,0.86,0.84
0.86,0.855,0.84
0.86,0.86,0.84
0.86,0.86,0.84
0.85,0.85,0.84
0.83,0.855,0.84
0.86,0.85,0.84
0.84,0.845,0.81
0.85,0.86,0.82
0.86,0.86,0.78
0.85,0.865,0.72
0.85,0.855,0.77
0.83,0.845,0.78
0.85,0.845,0.78
0.85,0.85,0.78
0.82,0.865,0.73
