valid,train,ood
0.52,0.515,0.5
0.76,0.765,0.87
0.76,0.771,0.86
0.77,0.79,0.83
0.77,0.791,0.85
0.76,0.781,0.86
0.76,0.789,0.85
0.76,0.799,0.85
0.78,0.789,0.85
0.77,0.793,0.83
0.76,0.792,0.82
0.77,0.789,0.8
0.78,0.801,0.64
0.78,0.805,0.65
0.78,0.801,0.64
0.81,0.811,0.57
0.78,0.811,0.52
0.8,0.812,0.51
0.8,0.817,0.5
0.8,0.812,0.5
0.78,0.822,0.5
0.8,0.827,0.5
0.81,0.811,0.5
0.79,0.817,0.5
0.81,0.816,0.5
0.82,0.827,0.5
0.8,0.82,0.5
0.8,0.822,0.5
0.8,0.828,0.5
0.82,0.827,0.5
0.81,0.825,0.5
0.81,0.82,0.5
0.81,0.816,0.5
0.81,0.825,0.5
0.81,0.83,0.5
0.84,0.822,0.5
0.78,0.824,0.5
0.81,0.827,0.5
0.82,0.827,0.5
0.82,0.825,0.5
0.82,0.837,0.5
0.82,0.836,0.5
0.86,0.837,0.5
0.83,0.831,0.5
0.82,0.838,0.5
0.81,0.83,0.5
0.81,0.84,0.5
0.81,0.823,0.5
0.8,0.826,0.5
0.81,0.834,0.5
0.79,0.83,0.5
