train,valid,ood
8.040000000000000568e+01,7.800000000000000000e+01,8.200000000000000000e+01
8.200000000000000000e+01,7.800000000000000000e+01,8.700000000000000000e+01
8.080000000000001137e+01,8.000000000000000000e+01,8.600000000000000000e+01
7.929999999999999716e+01,7.300000000000000000e+01,8.500000000000000000e+01
8.080000000000001137e+01,8.200000000000000000e+01,8.300000000000000000e+01
8.110000000000000853e+01,7.700000000000000000e+01,8.400000000000000000e+01
7.950000000000000000e+01,8.200000000000000000e+01,7.700000000000000000e+01
8.100000000000000000e+01,8.000000000000000000e+01,8.300000000000000000e+01
8.129999999999999716e+01,8.300000000000000000e+01,8.200000000000000000e+01
8.269999999999998863e+01,8.000000000000000000e+01,8.800000000000000000e+01
8.060000000000000853e+01,8.100000000000000000e+01,8.200000000000000000e+01
8.219999999999998863e+01,7.200000000000000000e+01,8.200000000000000000e+01
8.229999999999999716e+01,7.800000000000000000e+01,8.700000000000000000e+01
8.250000000000000000e+01,8.000000000000000000e+01,8.700000000000000000e+01
8.229999999999999716e+01,7.800000000000000000e+01,8.600000000000000000e+01
8.239999999999999147e+01,8.400000000000000000e+01,8.400000000000000000e+01
8.200000000000000000e+01,7.600000000000000000e+01,8.100000000000000000e+01
8.020000000000000284e+01,8.100000000000000000e+01,8.700000000000000000e+01
8.169999999999998863e+01,8.100000000000000000e+01,8.300000000000000000e+01
8.269999999999998863e+01,8.100000000000000000e+01,7.800000000000000000e+01
7.940000000000000568e+01,8.000000000000000000e+01,8.300000000000000000e+01
7.900000000000000000e+01,8.000000000000000000e+01,8.300000000000000000e+01
8.279999999999999716e+01,8.200000000000000000e+01,7.700000000000000000e+01
8.219999999999998863e+01,7.600000000000000000e+01,7.900000000000000000e+01
8.229999999999999716e+01,8.300000000000000000e+01,8.100000000000000000e+01
8.239999999999999147e+01,8.200000000000000000e+01,8.500000000000000000e+01
8.129999999999999716e+01,8.100000000000000000e+01,8.500000000000000000e+01
8.120000000000000284e+01,8.000000000000000000e+01,7.900000000000000000e+01
8.229999999999999716e+01,8.100000000000000000e+01,8.600000000000000000e+01
8.320000000000000284e+01,7.800000000000000000e+01,7.900000000000000000e+01
7.960000000000000853e+01,8.300000000000000000e+01,8.100000000000000000e+01
8.070000000000000284e+01,8.300000000000000000e+01,7.900000000000000000e+01
8.229999999999999716e+01,8.300000000000000000e+01,8.400000000000000000e+01
8.250000000000000000e+01,8.100000000000000000e+01,8.300000000000000000e+01
8.219999999999998863e+01,8.000000000000000000e+01,8.000000000000000000e+01
8.359999999999999432e+01,8.300000000000000000e+01,8.000000000000000000e+01
8.289999999999999147e+01,7.700000000000000000e+01,8.100000000000000000e+01
8.389999999999999147e+01,8.200000000000000000e+01,8.100000000000000000e+01
8.030000000000001137e+01,8.000000000000000000e+01,8.000000000000000000e+01
8.179999999999999716e+01,7.300000000000000000e+01,8.400000000000000000e+01
8.219999999999998863e+01,8.200000000000000000e+01,7.800000000000000000e+01
8.489999999999999147e+01,8.000000000000000000e+01,8.200000000000000000e+01
8.219999999999998863e+01,8.500000000000000000e+01,8.600000000000000000e+01
8.309999999999999432e+01,7.900000000000000000e+01,8.600000000000000000e+01
8.350000000000000000e+01,8.100000000000000000e+01,8.500000000000000000e+01
8.239999999999999147e+01,8.000000000000000000e+01,8.200000000000000000e+01
8.289999999999999147e+01,8.100000000000000000e+01,8.500000000000000000e+01
8.359999999999999432e+01,7.900000000000000000e+01,7.900000000000000000e+01
8.100000000000000000e+01,7.500000000000000000e+01,7.800000000000000000e+01
8.429999999999999716e+01,8.300000000000000000e+01,7.900000000000000000e+01
8.420000000000000284e+01,7.700000000000000000e+01,8.400000000000000000e+01
8.350000000000000000e+01,7.500000000000000000e+01,8.700000000000000000e+01
8.339999999999999147e+01,8.300000000000000000e+01,8.600000000000000000e+01
8.250000000000000000e+01,8.000000000000000000e+01,8.500000000000000000e+01
8.339999999999999147e+01,7.700000000000000000e+01,8.400000000000000000e+01
8.309999999999999432e+01,8.400000000000000000e+01,8.300000000000000000e+01
8.439999999999999147e+01,8.200000000000000000e+01,8.600000000000000000e+01
8.139999999999999147e+01,8.300000000000000000e+01,8.600000000000000000e+01
8.400000000000000000e+01,7.600000000000000000e+01,8.600000000000000000e+01
8.420000000000000284e+01,8.300000000000000000e+01,8.100000000000000000e+01
8.259999999999999432e+01,8.400000000000000000e+01,8.200000000000000000e+01
8.269999999999998863e+01,8.000000000000000000e+01,8.600000000000000000e+01
8.329999999999999716e+01,8.700000000000000000e+01,8.100000000000000000e+01
8.289999999999999147e+01,8.000000000000000000e+01,8.800000000000000000e+01
