valid,train,ood
0.800000011920929,0.7950000166893005,0.8100000023841858
0.7799999713897705,0.8009999990463257,0.7900000214576721
0.8199999928474426,0.8360000252723694,0.9300000071525574
0.8199999928474426,0.8320000171661377,0.8799999952316284
0.8299999833106995,0.8240000009536743,0.9100000262260437
0.8199999928474426,0.8370000123977661,0.9700000286102295
0.8399999737739563,0.8410000205039978,0.9800000190734863
0.8299999833106995,0.8330000042915344,0.949999988079071
0.8399999737739563,0.8429999947547913,0.9800000190734863
0.8199999928474426,0.8360000252723694,0.949999988079071
