train,valid,ood
9.409999999999999432e+01,7.720000000000000284e+01,6.560000000000000853e+01
9.489999999999999147e+01,7.720000000000000284e+01,6.400000000000000000e+01
9.429999999999999716e+01,7.920000000000000284e+01,6.520000000000000284e+01
9.479999999999999716e+01,7.400000000000000000e+01,5.879999999999999716e+01
9.550000000000000000e+01,7.600000000000000000e+01,6.039999999999999858e+01
9.330000000000001137e+01,7.720000000000000284e+01,6.400000000000000000e+01
9.409999999999999432e+01,8.159999999999999432e+01,6.760000000000000853e+01
9.270000000000000284e+01,7.239999999999999147e+01,5.919999999999999574e+01
9.350000000000000000e+01,7.600000000000000000e+01,6.760000000000000853e+01
9.559999999999999432e+01,7.720000000000000284e+01,6.479999999999999716e+01
9.479999999999999716e+01,7.679999999999999716e+01,6.440000000000000568e+01
9.439999999999999147e+01,7.840000000000000568e+01,5.799999999999999289e+01
9.389999999999999147e+01,7.479999999999999716e+01,5.759999999999999432e+01
9.489999999999999147e+01,7.960000000000000853e+01,6.400000000000000000e+01
9.459999999999999432e+01,7.600000000000000000e+01,6.360000000000000142e+01
9.280000000000001137e+01,7.600000000000000000e+01,6.879999999999999716e+01
9.419999999999998863e+01,7.520000000000000284e+01,6.039999999999999858e+01
9.579999999999999716e+01,7.400000000000000000e+01,6.560000000000000853e+01
9.570000000000000284e+01,7.760000000000000853e+01,6.679999999999999716e+01
9.519999999999998863e+01,7.920000000000000284e+01,7.120000000000000284e+01
9.469999999999998863e+01,7.600000000000000000e+01,6.840000000000000568e+01
9.489999999999999147e+01,7.760000000000000853e+01,7.000000000000000000e+01
9.489999999999999147e+01,7.479999999999999716e+01,6.600000000000000000e+01
9.529999999999999716e+01,7.600000000000000000e+01,5.639999999999999147e+01
9.559999999999999432e+01,7.320000000000000284e+01,6.239999999999999858e+01
9.559999999999999432e+01,8.000000000000000000e+01,6.600000000000000000e+01
9.479999999999999716e+01,7.920000000000000284e+01,6.720000000000000284e+01
9.539999999999999147e+01,7.279999999999999716e+01,6.840000000000000568e+01
9.550000000000000000e+01,7.720000000000000284e+01,6.079999999999999716e+01
9.559999999999999432e+01,7.440000000000000568e+01,6.279999999999999716e+01
9.469999999999998863e+01,7.479999999999999716e+01,6.320000000000000284e+01
9.450000000000000000e+01,7.679999999999999716e+01,6.640000000000000568e+01
9.550000000000000000e+01,7.679999999999999716e+01,6.239999999999999858e+01
9.509999999999999432e+01,7.640000000000000568e+01,6.760000000000000853e+01
9.579999999999999716e+01,7.720000000000000284e+01,6.520000000000000284e+01
