valid,train,ood
0.53,0.526,0.5
0.79,0.739,0.8
0.76,0.722,0.81
0.79,0.778,0.8
0.79,0.776,0.85
0.75,0.76,0.83
0.84,0.789,0.83
0.86,0.784,0.91
0.85,0.796,0.97
0.85,0.782,0.89
0.79,0.777,0.82
0.82,0.799,0.86
0.82,0.8,0.86
0.82,0.802,0.89
0.8,0.808,0.81
0.81,0.817,0.87
0.84,0.814,0.91
0.78,0.807,0.86
0.84,0.816,0.92
0.81,0.813,0.9
0.82,0.816,0.86
0.8,0.822,0.84
0.82,0.821,0.82
0.81,0.822,0.84
0.79,0.818,0.82
0.8,0.818,0.88
0.79,0.814,0.83
0.79,0.823,0.83
0.82,0.827,0.85
0.82,0.826,0.85
0.81,0.831,0.85
0.81,0.831,0.85
0.81,0.832,0.89
0.84,0.825,0.89
0.78,0.825,0.78
0.79,0.835,0.87
0.8,0.827,0.88
0.8,0.838,0.88
0.8,0.83,0.87
0.79,0.83,0.9
0.77,0.831,0.85
0.75,0.831,0.88
0.79,0.833,0.84
0.81,0.838,0.85
0.81,0.842,0.85
0.8,0.835,0.86
0.79,0.831,0.89
0.81,0.825,0.88
0.78,0.838,0.87
0.8,0.835,0.88
0.77,0.829,0.9
