valid,train,ood
0.6399999856948853,0.7699999809265137,0.7200000286102295
0.7699999809265137,0.8349999785423279,0.7699999809265137
0.7400000095367432,0.8450000286102295,0.7699999809265137
0.75,0.9049999713897705,0.7900000214576721
0.7799999713897705,0.9150000214576721,0.7300000190734863
0.7599999904632568,0.9549999833106995,0.7699999809265137
0.7300000190734863,0.8600000143051147,0.6800000071525574
0.800000011920929,0.9549999833106995,0.7200000286102295
0.8100000023841858,0.9549999833106995,0.7400000095367432
0.7799999713897705,0.9599999785423279,0.75
