train,valid,ood
5.290000000000000568e+01,5.000000000000000000e+01,6.000000000000000000e+01
5.540000000000000568e+01,5.400000000000000000e+01,5.000000000000000000e+01
5.170000000000000284e+01,4.700000000000000000e+01,4.900000000000000000e+01
5.689999999999999147e+01,5.200000000000000000e+01,5.200000000000000000e+01
5.610000000000000853e+01,5.600000000000000711e+01,5.400000000000000000e+01
5.060000000000000142e+01,5.100000000000000000e+01,5.000000000000000000e+01
5.819999999999999574e+01,4.900000000000000000e+01,5.000000000000000000e+01
5.340000000000000568e+01,4.900000000000000000e+01,5.100000000000000000e+01
5.979999999999999716e+01,4.600000000000000000e+01,5.000000000000000000e+01
5.370000000000000284e+01,4.900000000000000000e+01,5.000000000000000000e+01
5.799999999999999289e+01,4.700000000000000000e+01,5.100000000000000000e+01
5.500000000000000711e+01,5.200000000000000000e+01,5.300000000000000000e+01
6.119999999999999574e+01,5.100000000000000000e+01,5.000000000000000000e+01
5.950000000000000000e+01,5.200000000000000000e+01,5.000000000000000000e+01
6.100000000000000000e+01,4.600000000000000000e+01,5.000000000000000000e+01
6.450000000000000000e+01,4.900000000000000000e+01,5.100000000000000000e+01
6.179999999999999716e+01,5.000000000000000000e+01,5.100000000000000000e+01
5.000000000000000000e+01,5.200000000000000000e+01,5.000000000000000000e+01
6.339999999999999858e+01,5.000000000000000000e+01,5.000000000000000000e+01
6.470000000000000284e+01,5.600000000000000711e+01,5.100000000000000000e+01
6.250000000000000000e+01,5.699999999999999289e+01,5.000000000000000000e+01
6.629999999999999716e+01,4.800000000000000000e+01,5.000000000000000000e+01
5.620000000000000284e+01,5.100000000000000000e+01,5.200000000000000000e+01
6.629999999999999716e+01,5.400000000000000000e+01,5.000000000000000000e+01
6.479999999999999716e+01,5.400000000000000000e+01,5.000000000000000000e+01
6.440000000000000568e+01,5.600000000000000711e+01,5.000000000000000000e+01
6.770000000000000284e+01,5.000000000000000000e+01,4.900000000000000000e+01
6.370000000000000284e+01,5.000000000000000000e+01,5.000000000000000000e+01
6.800000000000000000e+01,5.000000000000000000e+01,5.100000000000000000e+01
6.479999999999999716e+01,4.900000000000000000e+01,5.000000000000000000e+01
6.579999999999999716e+01,5.500000000000000711e+01,5.100000000000000000e+01
6.760000000000000853e+01,5.300000000000000000e+01,5.000000000000000000e+01
6.270000000000000284e+01,5.300000000000000000e+01,5.000000000000000000e+01
6.300000000000000000e+01,5.400000000000000000e+01,5.000000000000000000e+01
6.560000000000000853e+01,4.600000000000000000e+01,5.000000000000000000e+01
6.889999999999999147e+01,4.700000000000000000e+01,5.000000000000000000e+01
6.750000000000000000e+01,5.300000000000000000e+01,5.000000000000000000e+01
6.620000000000000284e+01,5.400000000000000000e+01,5.000000000000000000e+01
