valid,train,ood
0.5,0.536,0.49
0.92,0.914,0.5
0.89,0.907,0.5
0.91,0.928,0.5
0.93,0.934,0.5
0.96,0.934,0.5
0.96,0.937,0.5
0.94,0.943,0.5
0.95,0.942,0.5
0.95,0.949,0.5
0.95,0.949,0.5
0.97,0.953,0.5
0.97,0.956,0.5
0.97,0.953,0.5
0.97,0.955,0.5
0.96,0.962,0.5
0.95,0.959,0.5
0.93,0.961,0.5
0.95,0.964,0.5
0.9,0.971,0.5
0.95,0.968,0.5
0.95,0.97,0.5
0.94,0.975,0.5
0.94,0.972,0.5
0.95,0.97,0.5
0.96,0.973,0.5
0.93,0.974,0.5
0.96,0.98,0.5
0.96,0.977,0.5
0.93,0.979,0.51
0.94,0.978,0.5
0.95,0.98,0.51
0.96,0.979,0.5
0.94,0.972,0.51
0.94,0.981,0.5
0.95,0.983,0.5
0.95,0.977,0.5
0.93,0.984,0.5
0.9,0.984,0.5
0.95,0.979,0.5
0.93,0.982,0.5
0.91,0.986,0.5
0.93,0.987,0.5
0.93,0.986,0.5
0.9,0.986,0.5
0.94,0.984,0.5
0.94,0.983,0.5
0.94,0.985,0.5
0.94,0.99,0.5
0.94,0.995,0.5
0.94,0.993,0.5
